ticker,quarter_id,news_count,kw_lợi nhuận tăng,kw_doanh thu tăng,kw_tăng trưởng mạnh,kw_vượt kế hoạch,kw_kỷ lục,kw_tăng trưởng,kw_lãi ròng,kw_lợi nhuận sau thuế tăng,kw_kết quả tích cực,kw_chia cổ tức,kw_cổ tức cao,kw_mua lại cổ phiếu,kw_phát hành thưởng,kw_tăng vốn điều lệ,kw_cổ tức tiền mặt,kw_giảm nợ,kw_trả nợ,kw_cải thiện tài chính,kw_hệ số an toàn vốn,kw_dòng tiền dương,kw_tiền mặt dồi dào,kw_ký kết hợp đồng,kw_mở rộng thị trường,kw_dự án mới,kw_đầu tư mới,kw_hợp tác chiến lược,kw_thắng thầu,kw_xuất khẩu tăng,kw_lợi nhuận giảm,kw_doanh thu giảm,kw_lợi nhuận âm,kw_thua lỗ,kw_lỗ ròng,kw_dưới kế hoạch,kw_sụt giảm,kw_kết quả tiêu cực,kw_lợi nhuận thấp hơn,kw_không chia cổ tức,kw_hủy cổ tức,kw_giảm cổ tức,kw_phát hành pha loãng,kw_chào bán giá thấp,kw_nợ xấu,kw_nợ vay tăng,kw_áp lực tài chính,kw_nợ quá hạn,kw_hệ số nợ cao,kw_thiếu thanh khoản,kw_dòng tiền âm,kw_hủy hợp đồng,kw_dự án trì hoãn,kw_thu hẹp hoạt động,kw_đóng cửa,kw_dừng dự án,kw_bị phạt,kw_vi phạm,kw_bị thanh tra,kw_bị kiểm toán từ chối,kw_cảnh báo,kw_đình chỉ,kw_khởi tố,kw_điều tra,kw_tranh chấp pháp lý,kw_bị kiện,kw_đại hội cổ đông,kw_họp HĐQT,kw_thay đổi lãnh đạo,kw_thay CEO,kw_sáp nhập,kw_mua lại,kw_phát hành cổ phiếu mới,kw_niêm yết thêm,kw_thoái vốn,kw_norm_lợi nhuận tăng,kw_norm_doanh thu tăng,kw_norm_tăng trưởng mạnh,kw_norm_vượt kế hoạch,kw_norm_kỷ lục,kw_norm_tăng trưởng,kw_norm_lãi ròng,kw_norm_lợi nhuận sau thuế tăng,kw_norm_kết quả tích cực,kw_norm_chia cổ tức,kw_norm_cổ tức cao,kw_norm_mua lại cổ phiếu,kw_norm_phát hành thưởng,kw_norm_tăng vốn điều lệ,kw_norm_cổ tức tiền mặt,kw_norm_giảm nợ,kw_norm_trả nợ,kw_norm_cải thiện tài chính,kw_norm_hệ số an toàn vốn,kw_norm_dòng tiền dương,kw_norm_tiền mặt dồi dào,kw_norm_ký kết hợp đồng,kw_norm_mở rộng thị trường,kw_norm_dự án mới,kw_norm_đầu tư mới,kw_norm_hợp tác chiến lược,kw_norm_thắng thầu,kw_norm_xuất khẩu tăng,kw_norm_lợi nhuận giảm,kw_norm_doanh thu giảm,kw_norm_lợi nhuận âm,kw_norm_thua lỗ,kw_norm_lỗ ròng,kw_norm_dưới kế hoạch,kw_norm_sụt giảm,kw_norm_kết quả tiêu cực,kw_norm_lợi nhuận thấp hơn,kw_norm_không chia cổ tức,kw_norm_hủy cổ tức,kw_norm_giảm cổ tức,kw_norm_phát hành pha loãng,kw_norm_chào bán giá thấp,kw_norm_nợ xấu,kw_norm_nợ vay tăng,kw_norm_áp lực tài chính,kw_norm_nợ quá hạn,kw_norm_hệ số nợ cao,kw_norm_thiếu thanh khoản,kw_norm_dòng tiền âm,kw_norm_hủy hợp đồng,kw_norm_dự án trì hoãn,kw_norm_thu hẹp hoạt động,kw_norm_đóng cửa,kw_norm_dừng dự án,kw_norm_bị phạt,kw_norm_vi phạm,kw_norm_bị thanh tra,kw_norm_bị kiểm toán từ chối,kw_norm_cảnh báo,kw_norm_đình chỉ,kw_norm_khởi tố,kw_norm_điều tra,kw_norm_tranh chấp pháp lý,kw_norm_bị kiện,kw_norm_đại hội cổ đông,kw_norm_họp HĐQT,kw_norm_thay đổi lãnh đạo,kw_norm_thay CEO,kw_norm_sáp nhập,kw_norm_mua lại,kw_norm_phát hành cổ phiếu mới,kw_norm_niêm yết thêm,kw_norm_thoái vốn,pos_score,neg_score,sentiment_ratio,tfidf_lợi nhuận tăng,tfidf_doanh thu tăng,tfidf_tăng trưởng mạnh,tfidf_vượt kế hoạch,tfidf_kỷ lục,tfidf_tăng trưởng,tfidf_lãi ròng,tfidf_lợi nhuận sau thuế tăng,tfidf_kết quả tích cực,tfidf_chia cổ tức,tfidf_cổ tức cao,tfidf_mua lại cổ phiếu,tfidf_phát hành thưởng,tfidf_tăng vốn điều lệ,tfidf_cổ tức tiền mặt,tfidf_giảm nợ,tfidf_trả nợ,tfidf_cải thiện tài chính,tfidf_hệ số an toàn vốn,tfidf_dòng tiền dương,tfidf_tiền mặt dồi dào,tfidf_ký kết hợp đồng,tfidf_mở rộng thị trường,tfidf_dự án mới,tfidf_đầu tư mới,tfidf_hợp tác chiến lược,tfidf_thắng thầu,tfidf_xuất khẩu tăng,tfidf_lợi nhuận giảm,tfidf_doanh thu giảm,tfidf_lợi nhuận âm,tfidf_thua lỗ,tfidf_lỗ ròng,tfidf_dưới kế hoạch,tfidf_sụt giảm,tfidf_kết quả tiêu cực,tfidf_lợi nhuận thấp hơn,tfidf_không chia cổ tức,tfidf_hủy cổ tức,tfidf_giảm cổ tức,tfidf_phát hành pha loãng,tfidf_chào bán giá thấp,tfidf_nợ xấu,tfidf_nợ vay tăng,tfidf_áp lực tài chính,tfidf_nợ quá hạn,tfidf_hệ số nợ cao,tfidf_thiếu thanh khoản,tfidf_dòng tiền âm,tfidf_hủy hợp đồng,tfidf_dự án trì hoãn,tfidf_thu hẹp hoạt động,tfidf_đóng cửa,tfidf_dừng dự án,tfidf_bị phạt,tfidf_vi phạm,tfidf_bị thanh tra,tfidf_bị kiểm toán từ chối,tfidf_cảnh báo,tfidf_đình chỉ,tfidf_khởi tố,tfidf_điều tra,tfidf_tranh chấp pháp lý,tfidf_bị kiện,tfidf_đại hội cổ đông,tfidf_họp HĐQT,tfidf_thay đổi lãnh đạo,tfidf_thay CEO,tfidf_sáp nhập,tfidf_mua lại,tfidf_phát hành cổ phiếu mới,tfidf_niêm yết thêm,tfidf_thoái vốn,news_count_log,has_min_news
ACB,2022Q1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0
ACB,2022Q2,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.9999973333404445,0.0174786864834578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203799230597491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014286035849749941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,1
ACB,2022Q3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1
ACB,2022Q4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,-0.9999950000249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018233690332357083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03256867770213566,0.0,0.0,0.0,1.791759469228055,1
ACB,2023Q1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0
ACB,2023Q2,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.9999915000722494,0.0,0.0,0.0,0.0,0.0,0.00305953234271925,0.0,0.0,0.0,0.003909784704644379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005481406803313146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8903717578961645,1
ACB,2023Q3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0
ACB,2023Q4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.3333328888894815,0.0,0.0,0.0,0.0,0.0,0.038462692308470575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031870652009498096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0
ACB,2024Q1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.33333266666799993,0.0,0.0,0.0,0.0,0.0,0.02408979149846315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01996109257436986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,1
ACB,2024Q2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.9999890001209987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009588586751062281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,1
