date,title,description,url,source
2026-06-26,HDB: Quyết định của HĐQT về việc cấp tăng hạn mức giao dịch cho Vikki Bank,,https://vietstock.vn/2026/06/hdb-quyet-dinh-cua-hdqt-ve-viec-cap-tang-han-muc-giao-dich-cho-vikki-bank-830-1459330.htm,vietstock
2026-06-25,HDB: Thông báo về việc thay đổi địa điểm của PGD Đắk Hà,,https://vietstock.vn/2026/06/hdb-thong-bao-ve-viec-thay-doi-dia-diem-cua-pgd-dak-ha-830-1458595.htm,vietstock
2026-06-25,CBTT về việc đăng ký giao dịch trái phiếu HDB12604 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),,https://vietstock.vn/2026/06/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-hdb12604-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-3118-1459019.htm,vietstock
2026-06-24,HDB: Thông báo về việc thay đổi địa điểm của PGD Trường Sơn,,https://vietstock.vn/2026/06/hdb-thong-bao-ve-viec-thay-doi-dia-diem-cua-pgd-truong-son-830-1458157.htm,vietstock
2026-06-24,HDB: Quyết định 1004/QĐ-DNL của Chi Cục Thuế Doanh nghiệp lớn về việc nộp thuế,,https://vietstock.vn/2026/06/hdb-quyet-dinh-1004-qddnl-cua-chi-cuc-thue-doanh-nghiep-lon-ve-viec-nop-thue-830-1457875.htm,vietstock
2026-06-19,CBTT về việc đăng ký giao dịch trái phiếu HDB12603 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),,https://vietstock.vn/2026/06/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-hdb12603-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-3118-1456341.htm,vietstock
2026-06-18,Thông báo về việc hủy bỏ đăng ký giao dịch đối với trái phiếu HDB12101 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),,https://vietstock.vn/2026/06/thong-bao-ve-viec-huy-bo-dang-ky-giao-dich-doi-voi-trai-phieu-hdb12101-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-3118-1455864.htm,vietstock
2026-06-16,CBTT về việc đăng ký giao dịch trái phiếu HDB12602 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),,https://vietstock.vn/2026/06/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-hdb12602-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-3118-1454690.htm,vietstock
2026-06-15,HDBank chào bán gần 53.1 triệu trái phiếu trong đợt 2,,https://vietstock.vn/2026/06/hdbank-chao-ban-gan-531-trieu-trai-phieu-trong-dot-2-757-1454316.htm,vietstock
2026-06-12,HDB: Thông báo chào bán trái phiếu HDBank ra công chúng - Đợt 2,,https://vietstock.vn/2026/06/hdb-thong-bao-chao-ban-trai-phieu-hdbank-ra-cong-chung-dot-2-739-1453997.htm,vietstock
2026-06-12,Lãi suất tiền gửi đầu tháng 6 tại ngân hàng nào cao nhất?,,https://vietstock.vn/2026/06/lai-suat-tien-gui-dau-thang-6-tai-ngan-hang-nao-cao-nhat-757-1453078.htm,vietstock
2026-06-12,"Giải mã làn sóng nhân sự ""ngoại"" đổ bộ ngân hàng “nội”",,https://vietstock.vn/2026/06/giai-ma-lan-song-nhan-su-ngoai-do-bo-ngan-hang-noi-757-1453138.htm,vietstock
2026-06-08,AI tại ngân hàng: Cú hích hiệu suất hay lời cảnh báo chuyển giao?,,https://vietstock.vn/2026/06/ai-tai-ngan-hang-cu-hich-hieu-suat-hay-loi-canh-bao-chuyen-giao-757-1446633.htm,vietstock
2026-06-08,CBTT về việc đăng ký giao dịch trái phiếu HDB12601 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK) (tin đính chính),,https://vietstock.vn/2026/06/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-hdb12601-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-tin-dinh-chinh-3118-1453686.htm,vietstock
2026-06-08,CBTT về việc đăng ký giao dịch trái phiếu HDB12601 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),,https://vietstock.vn/2026/06/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-hdb12601-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-3118-1451814.htm,vietstock
2026-06-05,HDB: Thông báo nhận được công văn của UBCKNN về tài liệu báo cáo triển khai thực hiện chào bán trái phiếu ra công chúng đợt 2 của HDBank,,https://vietstock.vn/2026/06/hdb-thong-bao-nhan-duoc-cong-van-cua-ubcknn-ve-tai-lieu-bao-cao-trien-khai-thuc-hien-chao-ban-trai-phieu-ra-cong-chung-dot-2-cua-hdbank-739-1451338.htm,vietstock
2026-06-02,Cổ phiếu ngân hàng tháng 5/2026: Khối ngoại nối dài chuỗi bán ròng,,https://vietstock.vn/2026/06/co-phieu-ngan-hang-thang-52026-khoi-ngoai-noi-dai-chuoi-ban-rong-757-1449053.htm,vietstock
2026-06-01,HDB: Thông báo về việc thay đổi địa điểm của Chi nhánh Nghệ An,,https://vietstock.vn/2026/06/hdb-thong-bao-ve-viec-thay-doi-dia-diem-cua-chi-nhanh-nghe-an-737-1448925.htm,vietstock
2026-05-26,HDB: Quyết định của HĐQT thông qua phương án phát hành riêng lẻ Trái phiếu HDBank lần 02 năm 2026,,https://vietstock.vn/2026/05/hdb-quyet-dinh-cua-hdqt-thong-qua-phuong-an-phat-hanh-rieng-le-trai-phieu-hdbank-lan-02-nam-2026-785-1446919.htm,vietstock
2026-05-26,Thông báo về việc tạm ngừng giao dịch đối với trái phiếu HDB12407 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),,https://vietstock.vn/2026/05/thong-bao-ve-viec-tam-ngung-giao-dich-doi-voi-trai-phieu-hdb12407-cua-nh-tmcp-phat-trien-thanh-pho-ho-chi-minh-hdbank-3118-1446787.htm,vietstock
2026-05-25,"HDS trở thành công ty con của HDBank, hợp nhất BCTC từ quý 2/2026",,https://vietstock.vn/2026/05/hds-tro-thanh-cong-ty-con-cua-hdbank-hop-nhat-bctc-tu-quy-22026-757-1446120.htm,vietstock
2026-05-25,Bất đối xứng lãi suất: Vì sao đầu ra chưa giảm kịp đầu vào?,,https://vietstock.vn/2026/05/bat-doi-xung-lai-suat-vi-sao-dau-ra-chua-giam-kip-dau-vao-757-1446072.htm,vietstock
2026-05-25,HDB: Thông báo của TGĐ về việc thay đổi địa điểm của Phòng GD Dầu Giây,,https://vietstock.vn/2026/05/hdb-thong-bao-cua-tgd-ve-viec-thay-doi-dia-diem-cua-phong-gd-dau-giay-830-1446100.htm,vietstock
2026-05-21,HDB: CBTT hoàn tất tăng tỷ lệ sở hữu tại CTCP Chứng khoán HD,,https://vietstock.vn/2026/05/hdb-cbtt-hoan-tat-tang-ty-le-so-huu-tai-ctcp-chung-khoan-hd-739-1446082.htm,vietstock
2026-05-20,[Infographics] Toàn cảnh kết quả kinh doanh ngân hàng quý 1/2026,,https://vietstock.vn/2026/05/infographics-toan-canh-ket-qua-kinh-doanh-ngan-hang-quy-12026-757-1441272.htm,vietstock
